text,label
Renewal: domain Amazon payment ₹16249,cloud hosting
Paid ₹2282 for Google hosting,cloud hosting
Bought laptop for team ₹157127 from Google,equipment
Electricity bill payment ₹9754,utilities
Instagram ads charged ₹5674 for promotion,marketing
Flight ticket to conference ₹24998,travel
Uber to client office 47923,travel
Paid 41398 for Zoom hosting,cloud hosting
Paid 19165 for Amazon hosting,cloud hosting
Consultant invoice paid 167640,contractors
Uber to client office 40020,travel
Internet broadband recharge Jio 10585,utilities
Ordered office chair from Uber costing ₹13289,office supplies
Monthly subscription Zomato 14458,software
Internet broadband recharge GoDaddy ₹2387,utilities
Uber to client office 28177,travel
Paid 1589 for Facebook ads campaign,marketing
Instagram ads charged ₹9871 for promotion,marketing
Internet broadband recharge Zoom Rs 9164,utilities
Uber to client office ₹7410,travel
Bought pens for 8301 rupees from Dell on 2025-11-18,office supplies
Ola cab fare ₹40009 for commute,travel
Instagram ads charged 109 for promotion on 2025-11-18,marketing
Freelancer payment Zomato ₹63770,contractors
Paid 4735 for Flipkart hosting,cloud hosting
Purchased equipment: A4 paper ream 79483,equipment
Monthly subscription Dell 6637,software
Bought laptop for team ₹74986 from Adobe,equipment
Subscription renewal Google amount ₹217,software
Subscription renewal Flipkart amount ₹14184,software
Uber to client office 14140,travel
Purchased equipment: mouse ₹116708 on 2025-11-18,equipment
Electricity bill payment 6835,utilities
Renewal: domain Amazon payment ₹47924,cloud hosting
Subscription renewal Uber amount 8886,software
Subscription renewal Swiggy amount 7360 on 2025-11-18,software
Bought notebook for 2824 rupees from Flipkart,office supplies
Ordered keyboard from GoDaddy costing 135,office supplies
Internet broadband recharge Ola 11512,utilities
Purchased equipment: notebook ₹87780 on 2025-11-18,equipment
Ordered monitor from Dell costing ₹1036,office supplies
Bought laptop for team ₹143124 from GoDaddy,equipment
Paid ₹26661 for Microsoft hosting,cloud hosting
Subscription renewal Google amount 751,software
Bought laptop for team 63545 from Airtel,equipment
Paid ₹7591 for Facebook ads campaign,marketing
Paid 40908 for Amazon hosting on 2025-11-18,cloud hosting
Monthly subscription Zoom 2270,software
Freelancer payment Ola 115867,contractors
Bought laptop for team 88480 from Amazon,equipment
Uber to client office 48755,travel
Flight ticket to conference 33222,travel
Paid ₹18332 for Microsoft hosting,cloud hosting
Paid 2747 for Facebook ads campaign,marketing
Bought printer ink for 14568 rupees from Flipkart on 2025-11-18,office supplies
Freelancer payment Google Rs 39821,contractors
Ordered monitor from Zomato costing 3541,office supplies
Electricity bill payment 3978,utilities
Electricity bill payment 12167,utilities
Subscription renewal Ola amount 13000 on 2025-11-18,software
Purchased equipment: notebook ₹130665,equipment
Subscription renewal Uber amount ₹10913,software
Paid 23212 for HP hosting,cloud hosting
Flight ticket to conference 57577,travel
Uber to client office 39196,travel
Bought laptop for team ₹161149 from Flipkart on 2025-11-18,equipment
Electricity bill payment 13313,utilities
Monthly subscription Airtel 1246,software
Renewal: domain Dell payment ₹33434,cloud hosting
Consultant invoice paid ₹146335,contractors
Consultant invoice paid 162353,contractors
Ola cab fare 28273 for commute,travel
Internet broadband recharge Adobe 8475,utilities
Instagram ads charged 4749 for promotion,marketing
Subscription renewal Microsoft amount 3780 on 2025-11-18,software
Purchased equipment: printer ink 129384,equipment
Consultant invoice paid ₹64959,contractors
Renewal: domain HP payment ₹14541,cloud hosting
Bought laptop for team ₹156120 from Adobe,equipment
Internet broadband recharge GoDaddy 11037,utilities
Internet broadband recharge Google 7091,utilities
Purchased equipment: pens 74812,equipment
Purchased equipment: notebook 81984,equipment
Flight ticket to conference ₹5380,travel
Paid 1152 for Facebook ads campaign,marketing
Ordered keyboard from Uber costing 6481,office supplies
Consultant invoice paid ₹93211,contractors
Electricity bill payment 13205,utilities
Electricity bill payment ₹6471,utilities
Consultant invoice paid 123523,contractors
